USERID,ZDATE,ZTDATE,VERSION,LASTNAME,FIRSTNAME,FUNCTION,DEPARTMENT,COMPANY,USERTYPE,USERGROUP,LASTLOGONDATE,LASTLOGONTIME,EXPIRATIONSTARTDATE,EXPIRATIONENDDATE,USERLOCKSTATUS,ASSIGNEDROLE,TCDNUM,USEDTCD,ASSIGNEDTYPID,ROLETYPID,TCDTYPID
AC_ADMIN,202508,,1.68,AC_ADMIN,,,,ATNS Group,A,,2025-01-08,오후 7:47:02,,,0,8,19,0,GB,GB Advanced Use,
AC_AME_PRJ,202508,,,미주롤인2차프로젝트총괄,,,,ATNS Group,A,,,오전 12:00:00,,,0,1,19,0,,Not classified,
AC_AME_SM,202508,,,미주권역운영총괄,,,,ATNS Group,A,,,오전 12:00:00,,,0,1,19,0,,Not classified,
AC_APPROV01,202508,,1.68,AC_APPROV01,,,,ATNS Group,A,,2024-02-13,오후 7:37:49,,,0,1,6,0,,GB Advanced Use,
AC_BATCH,202508,,1.68,Control,Active,,,ATNS Group,B,,,오전 12:00:00,,,0,3,39,0,,GB Advanced Use,
AC_CONFIG01,202508,,1.68,AC_CONFIG01,,,,ATNS Group,A,,2024-02-07,오전 9:19:49,,,0,1,6,0,,GB Advanced Use,
AC_DEVELOP01,202508,,1.68,AC_DEVELOP01,,,,ATNS Group,A,,2024-04-11,오후 7:50:04,,,0,5,50,0,,GB Advanced Use,
AC_HQ_PRJ,202508,,,본사 프로젝트 총괄,,,,ATNS Group,A,,2024-04-08,오후 8:40:20,,,0,1,19,0,,Not classified,
AC_PM_ALL,202508,,,총괄,,,,ATNS Group,A,,,오전 12:00:00,,,0,1,19,0,,Not classified,
AC_RFC,202508,,1.68,AC_RFC,,,,ATNS Group,S,,2025-08-05,오후 4:25:00,,,0,3,49,0,,GB Advanced Use,
AC_RFC2,202508,,1.68,AC_RFC2,,,,ATNS Group,S,,2025-07-04,오전 10:47:22,,,0,1,21,0,,GB Advanced Use,
AC_TEST01,202508,,1.68,AC_TEST01,,,,ATNS Group,S,,2024-04-22,오후 1:29:19,,,0,1,6,0,,GB Advanced Use,
ADMIN,202508,202504,1.68,ADMIN,,,,ATNS Group,A,,2025-07-31,오후 5:00:29,,,0,13,3,15,,GB Advanced Use,GB Advanced Use
ADMIN,202508,202505,1.68,ADMIN,,,,ATNS Group,A,,2025-07-31,오후 5:00:29,,,0,13,3,6,,GB Advanced Use,GB Advanced Use
ADMIN2,202508,,1.68,ADMIN2,,,,ATNS Group,A,,2024-04-18,오후 12:25:13,,,0,4,0,0,,GB Advanced Use,
ATNSCON001,202508,,1.68,ATNSCON001,,,,ATNS Group,A,,2024-01-16,오전 10:07:27,,,0,29,20,0,GB,GB Advanced Use,
ATNSCON002,202508,,1.68,ATNSCON002,,,,ATNS Group,A,,2023-07-25,오후 4:52:27,,,0,21,1,0,,GB Advanced Use,
ATNSCON003,202508,,1.68,ATNSCON003,이응준,,,ATNS Group,A,,2025-08-05,오후 2:33:35,,,0,29,20,0,,GB Advanced Use,
ATNSCON004,202508,,1.68,ATNSCON004,,,,ATNS Group,A,,2023-03-29,오후 10:09:23,,,0,21,1,0,,GB Advanced Use,
ATNSDEV001,202508,202505,1.68,ATNSDEV001,,,,ATNS Group,A,,2025-05-10,오후 8:38:40,,,0,21,1,1,,GB Advanced Use,
ATNSDEV002,202508,202505,1.68,ATNSDEV002,,,,ATNS Group,A,,2025-05-11,오후 8:26:57,,,0,21,1,4,,GB Advanced Use,GB Advanced Use
ATNSDEV003,202508,,1.68,ATNSDEV003,,,,ATNS Group,A,,2023-03-24,오전 10:48:30,,,0,21,1,0,,GB Advanced Use,
ATNSDEV004,202508,,1.68,ATNSDEV004,,,,ATNS Group,A,,2023-03-24,오전 12:00:00,,,0,21,1,0,,GB Advanced Use,
ATNSDEV005,202508,202504,1.68,ATNSDEV005,,,,ATNS Group,A,,2025-07-17,오전 11:02:28,,,0,21,1,0,,GB Advanced Use,
ATNSDEV005,202508,202505,1.68,ATNSDEV005,,,,ATNS Group,A,,2025-07-17,오전 11:02:28,,,0,21,1,1,,GB Advanced Use,GB Advanced Use
ATNSDEV006,202508,,1.68,ATNSDEV006,,,,ATNS Group,A,,2025-01-03,오후 1:56:19,,,0,21,1,0,,GB Advanced Use,
ATNSDEV007,202508,,1.68,ATNSDEV007,,,,ATNS Group,A,,2024-05-08,오전 1:12:45,,,0,21,1,0,,GB Advanced Use,
ATNSDEV008,202508,,1.68,ATNSDEV008,,,,ATNS Group,A,,2025-06-26,오전 10:07:39,,,0,21,1,0,,GB Advanced Use,
ATNSDEV009,202508,202504,1.68,ATNSDEV009,,,,ATNS Group,A,,2025-08-01,오후 2:28:15,,,0,21,1,3,,GB Advanced Use,GB Advanced Use
ATNSDEV009,202508,202505,1.68,ATNSDEV009,,,,ATNS Group,A,,2025-08-01,오후 2:28:15,,,0,21,1,11,,GB Advanced Use,GB Advanced Use
ATNSDEV010,202508,202504,1.68,ATNSDEV010,,,,ATNS Group,A,,2025-08-04,오후 3:01:41,,,0,22,3,14,,GB Advanced Use,GB Advanced Use
ATNSDEV010,202508,202505,1.68,ATNSDEV010,,,,ATNS Group,A,,2025-08-04,오후 3:01:41,,,0,22,3,1,,GB Advanced Use,
ATNSDEV011,202508,202504,1.68,ATNSDEV011,,,,ATNS Group,A,,2025-08-05,오후 4:25:40,,,0,21,1,25,,GB Advanced Use,GB Advanced Use
ATNSDEV011,202508,202505,1.68,ATNSDEV011,,,,ATNS Group,A,,2025-08-05,오후 4:25:40,,,0,21,1,7,,GB Advanced Use,GB Advanced Use
ATNSDEV012,202508,,1.68,ATNSDEV012,,,,ATNS Group,A,,2025-08-05,오후 4:21:00,,,0,21,1,0,,GB Advanced Use,
ATNSDEV013,202508,,1.68,ATNSDEV013,,,,ATNS Group,A,,2025-07-15,오후 5:26:23,,,128,21,1,0,,GB Advanced Use,
ATNSDEV014,202508,,1.68,ATNSDEV014,,,,ATNS Group,A,,2023-06-13,오후 1:45:52,,,0,21,1,0,,GB Advanced Use,
ATNSDEV015,202508,,1.68,ATNSDEV015,,,,ATNS Group,A,,2023-11-28,오후 3:58:27,,,0,21,1,0,,GB Advanced Use,
ATNSDEV016,202508,,1.68,ATNSDEV016,,,,ATNS Group,A,,2024-11-13,오후 8:56:41,,,0,21,1,0,,GB Advanced Use,
ATPADM,202508,202504,1.68,atpadm,,BC,PTG,ATNS Group,A,,2025-08-05,오전 10:16:31,2025-01-01,2030-12-31,0,9,20,45,GB,GB Advanced Use,GB Advanced Use
ATPADM,202508,202505,1.68,atpadm,,BC,PTG,ATNS Group,A,,2025-08-05,오전 10:16:31,2025-01-01,2030-12-31,0,9,20,34,GB,GB Advanced Use,GB Advanced Use
BC001,202508,,1.68,JungSoo,Lee,,,ATNS Group,A,,2024-03-20,오전 9:39:11,,,0,0,0,0,,GB Advanced Use,
BJCHO,202508,,1.68,조병직 파트장님,,,,ATNS Group,A,,2025-03-11,오후 1:52:47,,,0,0,0,0,,GB Advanced Use,
CWLEE,202508,,1.68,CW LEE,,,,ATNS Group,A,,2024-08-13,오전 8:10:11,,,0,1,319,0,,GB Advanced Use,
CYC,202508,202504,1.68,cyc,,,,ATNS Group,A,,2025-08-04,오후 3:45:54,,,0,11,80,12,,GB Advanced Use,GB Advanced Use
CYC,202508,202505,1.68,cyc,,,,ATNS Group,A,,2025-08-04,오후 3:45:54,,,0,11,80,38,,GB Advanced Use,GB Advanced Use
CYCMAIL,202508,,1.68,CYCMAIL,,,,ATNS Group,B,,,오전 12:00:00,,,0,6,51,0,,GB Advanced Use,
DEV01,202508,,,DEV02,,,,ATNS Group,A,SUPER,,오전 12:00:00,2025-04-30,2025-05-01,0,0,0,0,GA,,
DHL,202508,202504,1.68,Daehyun,Lim,업그레이드테스트,,ATNS Group,S,,2025-07-28,오후 5:31:36,,,0,0,0,15,,GB Advanced Use,GB Advanced Use
DHL,202508,202505,1.68,Daehyun,Lim,업그레이드테스트,,ATNS Group,S,,2025-07-28,오후 5:31:36,,,0,0,0,8,,GB Advanced Use,GB Advanced Use
GICSPP01,202508,,1.68,GICSPP01,,,,ATNS Group,S,,,오전 12:00:00,,,0,29,20,0,,GB Advanced Use,
HMODI,202508,,1.68,HMODI,,,,ATNS Group,A,,2024-05-23,오후 6:47:37,,,0,5,6,0,,GB Advanced Use,
HMODI_TEST2,202508,,1.68,HMODI_TEST2,,,,ATNS Group,A,,2024-04-11,오후 8:40:05,,,0,5,50,0,,GB Advanced Use,
IC,202508,,1.68,유,인철,,,ATNS Group,A,,2025-07-28,오전 10:28:31,,,0,0,0,0,,GB Advanced Use,
IDADMIN,202508,202504,1.68,SSANAI,LEE,,,ATNS Group,A,SUPER,2024-05-22,오전 10:23:24,,,0,0,0,3,,GB Advanced Use,GB Advanced Use
JCHEONG,202508,202504,1.68,cheong,j,,,ATNS Group,A,,2025-08-05,오후 1:35:30,,,0,0,0,6,,GB Advanced Use,GB Advanced Use
JENNYA,202508,,1.68,김,규민,,,ATNS Group,A,,2025-07-10,오후 4:24:07,,,0,0,0,0,,GB Advanced Use,
JHKIM,202508,,1.68,KIM,JONG HWAN,,,ATNS Group,A,,2024-04-11,오후 3:28:45,,,0,8,19,0,,GB Advanced Use,
JK0506,202508,202505,1.68,JAE,LEE,,,ATNS Group,A,,2025-05-13,오전 8:26:35,,,0,0,0,2,,GB Advanced Use,
JUNGSOOLEE,202508,,1.68,JUNGSOOLEE,,,,ATNS Group,A,,2023-05-15,오후 8:36:04,,,0,26,1,0,,GB Advanced Use,
KEH,202508,,1.68,국,은혜,,,Company address - please maintain,A,,2025-06-10,오전 10:13:53,,,0,0,0,0,,GB Advanced Use,
