ROLE,TRANSACTIONCODE,ZDATE,AUTHORIZATIONOBJECT,AUTHORIZATIONFIELD,AUTHORIZATIONVALUE,TYPID,TCDTYPID,ROLETYPID
Z:TEST_K,SU01,202508,S_SECPOL,ACTVT,22,GB Advanced Use,GB Advanced Use,GB Advanced Use
Z:TEST_K,SU01,202508,S_USER_AGR,ACTVT,22,GB Advanced Use,GB Advanced Use,GB Advanced Use
Z:TEST_K,SU01,202508,S_USER_GRP,ACTVT,01,GB Advanced Use,GB Advanced Use,GB Advanced Use
Z:TEST_K,SU01,202508,S_USER_GRP,ACTVT,02,GD Self-Service Use,GB Advanced Use,GB Advanced Use
Z:TEST_K,SU01,202508,S_USER_GRP,ACTVT,06,GD Self-Service Use,GB Advanced Use,GB Advanced Use
Z:TEST_K,SU01,202508,S_USER_GRP,ACTVT,78,GB Advanced Use,GB Advanced Use,GB Advanced Use
Z:TEST_K,SU01,202508,S_USER_PRO,ACTVT,03,GD Self-Service Use,GB Advanced Use,GB Advanced Use
Z:TEST_K,SU01,202508,S_USER_PRO,ACTVT,22,GB Advanced Use,GB Advanced Use,GB Advanced Use
Z:TEST_K,SU01,202508,S_USER_SAS,ACTVT,22,GB Advanced Use,GB Advanced Use,GB Advanced Use
Z:TEST_KKK,SU01,202508,S_SECPOL,ACTVT,22,GB Advanced Use,GB Advanced Use,GB Advanced Use
Z:TEST_KKK,SU01,202508,S_USER_AGR,ACTVT,22,GB Advanced Use,GB Advanced Use,GB Advanced Use
Z:TEST_KKK,SU01,202508,S_USER_GRP,ACTVT,01,GB Advanced Use,GB Advanced Use,GB Advanced Use
Z:TEST_KKK,SU01,202508,S_USER_GRP,ACTVT,02,GD Self-Service Use,GB Advanced Use,GB Advanced Use
Z:TEST_KKK,SU01,202508,S_USER_GRP,ACTVT,06,GD Self-Service Use,GB Advanced Use,GB Advanced Use
Z:TEST_KKK,SU01,202508,S_USER_GRP,ACTVT,78,GB Advanced Use,GB Advanced Use,GB Advanced Use
Z:TEST_KKK,SU01,202508,S_USER_PRO,ACTVT,03,GD Self-Service Use,GB Advanced Use,GB Advanced Use
Z:TEST_KKK,SU01,202508,S_USER_PRO,ACTVT,22,GB Advanced Use,GB Advanced Use,GB Advanced Use
Z:TEST_KKK,SU01,202508,S_USER_SAS,ACTVT,22,GB Advanced Use,GB Advanced Use,GB Advanced Use
ZBC_PUN,SU01,202508,S_SECPOL,ACTVT,22,GB Advanced Use,GB Advanced Use,GB Advanced Use
ZBC_PUN,SU01,202508,S_USER_AGR,ACTVT,22,GB Advanced Use,GB Advanced Use,GB Advanced Use
ZBC_PUN,SU01,202508,S_USER_GRP,ACTVT,01,GB Advanced Use,GB Advanced Use,GB Advanced Use
ZBC_PUN,SU01,202508,S_USER_GRP,ACTVT,02,GD Self-Service Use,GB Advanced Use,GB Advanced Use
ZBC_PUN,SU01,202508,S_USER_GRP,ACTVT,06,GD Self-Service Use,GB Advanced Use,GB Advanced Use
ZBC_PUN,SU01,202508,S_USER_GRP,ACTVT,78,GB Advanced Use,GB Advanced Use,GB Advanced Use
ZBC_PUN,SU01,202508,S_USER_PRO,ACTVT,03,GD Self-Service Use,GB Advanced Use,GB Advanced Use
ZBC_PUN,SU01,202508,S_USER_PRO,ACTVT,22,GB Advanced Use,GB Advanced Use,GB Advanced Use
ZBC_PUN,SU01,202508,S_USER_SAS,ACTVT,22,GB Advanced Use,GB Advanced Use,GB Advanced Use
ZBC_SU01_YSH,SE16N,202508,S_TABU_NAM,ACTVT,*,GD Self-Service Use,GD Self-Service Use,GB Advanced Use
ZBC_SU01_YSH,SU01,202508,S_SECPOL,ACTVT,22,GB Advanced Use,GB Advanced Use,GB Advanced Use
ZBC_SU01_YSH,SU01,202508,S_USER_AGR,ACTVT,22,GB Advanced Use,GB Advanced Use,GB Advanced Use
ZBC_SU01_YSH,SU01,202508,S_USER_GRP,ACTVT,01,GB Advanced Use,GB Advanced Use,GB Advanced Use
ZBC_SU01_YSH,SU01,202508,S_USER_GRP,ACTVT,02,GD Self-Service Use,GB Advanced Use,GB Advanced Use
ZBC_SU01_YSH,SU01,202508,S_USER_GRP,ACTVT,06,GD Self-Service Use,GB Advanced Use,GB Advanced Use
ZBC_SU01_YSH,SU01,202508,S_USER_GRP,ACTVT,78,GB Advanced Use,GB Advanced Use,GB Advanced Use
